algo,n,runs,warmup,min_s,median_s,mean_s,stdev_s,muls,adds,gops_per_s,rss_after_warmup,rss_peak,checksum
alphaevolve,4,5,1,0.000001885,0.000001886,0.000001983,0.000000195,48,366,0.2088,1961984,1961984,-1.964346e+00
alphaevolve,8,5,1,2.444000000e-06,3.213000000e-06,3.059400000e-06,3.630143799e-07,384,2928,1.0826e+00,1961984,1961984,4.994161e+00
alphaevolve,16,5,1,1.438700000e-05,1.508500000e-05,1.593780000e-05,1.529377704e-06,3072,23424,1.6625e+00,1961984,1961984,1.096686e+01
alphaevolve,128,5,1,6.333137000e-03,6.597556000e-03,6.527645000e-03,1.127993628e-04,1572864,11993088,2.0782e+00,3833856,3833856,-4.494697e+02
alphaevolve,256,5,1,5.339184200e-02,5.381738400e-02,5.756590560e-02,5.433820260e-03,12582912,95944704,1.8853e+00,5169152,5169152,-1.260504e+03
alphaevolve,1024,5,1,5.305479258e+00,5.328069349e+00,5.323025007e+00,1.358752256e-02,805306368,6140461056,1.3049e+00,28672000,28672000,1.761270e+04
