algo,n,runs,warmup,min_s,median_s,mean_s,stdev_s,muls,adds,gops_per_s,rss_after_warmup,rss_peak,checksum
naive,4,5,1,0.000000978,0.000001397,0.000001327,0.000000177,64,64,0.0965,1912832,1912832,-1.964346e+00
naive,8,5,1,1.397000000e-06,1.466000000e-06,1.522200000e-06,1.840058695e-07,512,512,6.7271e-01,1912832,1912832,4.994161e+00
naive,16,5,1,2.793000000e-06,2.794000000e-06,2.933200000e-06,2.162419016e-07,4096,4096,2.7929e+00,1912832,1912832,1.096686e+01
naive,128,5,1,7.263500000e-04,7.667170000e-04,7.722628000e-04,3.586272565e-05,2097152,2097152,5.4312e+00,3809280,3809280,-4.494697e+02
naive,256,5,1,5.395099000e-03,5.725518000e-03,5.658708000e-03,2.055600485e-04,16777216,16777216,5.9297e+00,5144576,5144576,-1.260504e+03
naive,1024,5,1,5.750962060e-01,5.761420090e-01,5.768661238e-01,1.433156035e-03,1073741824,1073741824,3.7227e+00,28717056,28717056,1.761270e+04
